rule_id,conditions,prediction,confidence,support,samples,depth,conditions_str
0,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha <= 6.013', 'pf_o_int <= 5.005', 'pf_o_sha <= 4.104', 'income <= 12.000', 'goal <= 9.500', 'imprelig > 1.500', 'prob_o > 0.817', 'age <= 3.250']",No Match,0.001522055824252666,0.05850303679885673,655,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha <= 6.013 AND pf_o_int <= 5.005 AND pf_o_sha <= 4.104 AND income <= 12.000 AND goal <= 9.500 AND imprelig > 1.500 AND prob_o > 0.817 AND age <= 3.250
1,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha <= 6.013', 'pf_o_int <= 5.005', 'pf_o_sha > 4.104', 'pf_o_sha > 4.828', 'intel_o <= 8.019', 'tvsports > 2.500', 'date <= 10.957', 'income <= 10.801']",No Match,0.001346070427494072,0.06404072883172561,717,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha <= 6.013 AND pf_o_int <= 5.005 AND pf_o_sha > 4.104 AND pf_o_sha > 4.828 AND intel_o <= 8.019 AND tvsports > 2.500 AND date <= 10.957 AND income <= 10.801
2,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha <= 6.013', 'pf_o_int > 5.005', 'pf_o_int > 5.996', 'sinc_o <= 7.036', 'tvsports > 1.500', 'museums <= 0.049', 'yoga <= 5.500', 'field_cd <= 2.020']",No Match,0.0026312811226799457,0.03358342265094676,376,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha <= 6.013 AND pf_o_int > 5.005 AND pf_o_int > 5.996 AND sinc_o <= 7.036 AND tvsports > 1.500 AND museums <= 0.049 AND yoga <= 5.500 AND field_cd <= 2.020
3,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha > 6.013', 'pf_o_sha > 6.975', 'sinc_o <= 6.025', 'tv <= 72.405', 'expnum <= 0.302', 'movies <= 6.686', 'tv <= 69.375', 'income <= 10.698']",No Match,0.0029752066115702478,0.02947481243301179,330,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha > 6.013 AND pf_o_sha > 6.975 AND sinc_o <= 6.025 AND tv <= 72.405 AND expnum <= 0.302 AND movies <= 6.686 AND tv <= 69.375 AND income <= 10.698
4,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha > 6.013', 'pf_o_sha > 6.975', 'sinc_o > 6.025', 'positin1 <= 0.500', 'tuition <= 6.845', 'reading > -0.907', 'idg <= 3.834', 'exphappy <= 6.910']",Match,0.0067186240257995165,0.010896748838871026,122,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha > 6.013 AND pf_o_sha > 6.975 AND sinc_o > 6.025 AND positin1 <= 0.500 AND tuition <= 6.845 AND reading > -0.907 AND idg <= 3.834 AND exphappy <= 6.910
5,"['pf_o_int <= 6.000', 'attr_o <= 6.004', 'pf_o_sha > 6.013', 'pf_o_sha > 6.975', 'sinc_o > 6.025', 'positin1 > 0.500', 'pf_o_sha <= 8.056', 'income <= 8.052', 'met_o <= 2.750', 'career <= 8.313']",No Match,0.006606867283950617,0.012861736334405145,144,10,pf_o_int <= 6.000 AND attr_o <= 6.004 AND pf_o_sha > 6.013 AND pf_o_sha > 6.975 AND sinc_o > 6.025 AND positin1 > 0.500 AND pf_o_sha <= 8.056 AND income <= 8.052 AND met_o <= 2.750 AND career <= 8.313
6,"['pf_o_int <= 6.000', 'attr_o > 6.004', 'attr_o <= 6.999']",Match,0.006802721088435374,0.013129689174705252,147,3,pf_o_int <= 6.000 AND attr_o > 6.004 AND attr_o <= 6.999
7,"['pf_o_int <= 6.000', 'attr_o > 6.004', 'attr_o > 6.999', 'tv <= 68.517', 'attr_o <= 8.068', 'yoga <= 4.152', 'shopping > 1.896', 'exercise <= 9.500', 'race > 1.651', 'round <= 0.500']",No Match,0.004281308335362389,0.01982851018220793,222,10,pf_o_int <= 6.000 AND attr_o > 6.004 AND attr_o > 6.999 AND tv <= 68.517 AND attr_o <= 8.068 AND yoga <= 4.152 AND shopping > 1.896 AND exercise <= 9.500 AND race > 1.651 AND round <= 0.500
8,"['pf_o_int <= 6.000', 'attr_o > 6.004', 'attr_o > 6.999', 'tv > 68.517', 'pf_o_sha > 6.002', 'sinc_o > 6.150', 'undergra <= 1.985', 'undergra > 0.001', 'imprace > 6.100', 'wave > 1.012']",Match,0.004075,0.01786352268667381,200,10,pf_o_int <= 6.000 AND attr_o > 6.004 AND attr_o > 6.999 AND tv > 68.517 AND pf_o_sha > 6.002 AND sinc_o > 6.150 AND undergra <= 1.985 AND undergra > 0.001 AND imprace > 6.100 AND wave > 1.012
9,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int <= 6.998', 'amb_o > 1.098']",Match,0.005555555555555556,0.01607717041800643,180,4,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int <= 6.998 AND amb_o > 1.098
